"","Year","Location","Genotype","Amylose","Crude.Fiber"
"291","2022","Otobi","NR17C2aF61P015",16.066,1.67
"292","2022","Otobi","NR17C2aF61P016",19.026,0.07
"293","2022","Otobi","NR17C2aF62P015",21.835,1.33
"294","2022","Otobi","NR17C2aF62P020",17.878,1.33
"295","2022","Otobi","NR17C2aF62P027",17.365,1.67
"296","2022","Otobi","NR17C2aF65P009",16.58,2
"297","2022","Otobi","NR17C2aF65P020",17.033,2
"298","2022","Otobi","NR17C2aF65P024",15.523,3.33
"299","2022","Otobi","NR17C2aF65P027",17.154,3.65
"300","2022","Otobi","NR17C2aF65P031",16.127,3
"301","2022","Otobi","NR17C2aF66P002",15.372,2.33
"302","2022","Otobi","NR17C2aF66P003",15.553,2.33
"303","2022","Otobi","NR17C2aF66P014",24.311,2.66
"304","2022","Otobi","NR17C2aF69P009",18.331,3
"305","2022","Otobi","NR17C2aF6P006",16.127,2.67
"306","2022","Otobi","NR17C2aF6P007",18.029,1.99
"307","2022","Otobi","NR17C2aF6P030",18.543,2.33
"308","2022","Otobi","NR17C2aF6P044",18.543,1.66
"309","2022","Otobi","NR17C2aF6P045",14.436,2.67
"310","2022","Otobi","NR17C2aF6P046",19.6,2.67
"311","2022","Otobi","NR17C2aF70P001",15.13,1.99
"312","2022","Otobi","NR17C2aF70P007",22.439,2
"313","2022","Otobi","NR17C2aF70P008",17.546,2
"314","2022","Otobi","NR17C2aF71P001",18.603,2.33
"315","2022","Otobi","NR17C2aF79P001",15.583,1.33
"316","2022","Otobi","NR17C2aF79P005",19.66,1.66
"317","2022","Otobi","NR17C2aF79P007",13.197,1.67
"318","2022","Otobi","NR17C2aF79P008",20.657,2
"319","2022","Otobi","NR17C2aF79P016",17.274,2.33
"320","2022","Otobi","NR17C2aF7P007",23.254,1.67
"321","2022","Otobi","NR17C2aF7P008",22.318,1.66
"322","2022","Otobi","NR17C2aF7P011",15.251,1.67
"323","2022","Otobi","NR17C2aF7P013",14.707,1.66
"324","2022","Otobi","NR17C2aF7P017",16.731,2
"325","2022","Otobi","NR17C2aF7P018",19.026,1.66
"326","2022","Otobi","NR17C2aF7P023",NA,2
"327","2022","Otobi","NR17C2aF7P030",20.868,1.99
"328","2022","Otobi","NR17C2aF7P034",12.744,1.99
"329","2022","Otobi","NR17C2aF7P036",16.58,2
"330","2022","Otobi","NR17C2aF7P044",17.003,3
"331","2022","Otobi","NR17C2aF7P045",13.62,1.99
"332","2022","Otobi","NR17C2aF7P050",14.073,2
"333","2022","Otobi","NR17C2aF7P052",18.09,1.67
"334","2022","Otobi","NR17C2aF7P058",17.546,3.33
"335","2022","Otobi","NR17C2aF7P062",12.473,3.33
"336","2022","Otobi","NR17C2aF7P065",16.731,2.67
"337","2022","Otobi","NR17C2aF7P067",18.452,1.66
"338","2022","Otobi","NR17C2aF7P070",14.858,2
"339","2022","Otobi","NR17C2aF81P002",17.214,3.32
"340","2022","Otobi","NR17C2aF81P003",19.056,2.67
"341","2022","Otobi","NR17C2aF82P002",18.362,2.33
"342","2022","Otobi","NR17C2aF82P008",17.184,2
"343","2022","Otobi","NR17C2aF83P010",22.469,2
"344","2022","Otobi","NR17C2aF83P018",14.949,2.33
"345","2022","Otobi","NR17C2aF84P004",18.603,1.67
"346","2022","Otobi","NR17C2aF87P010",20.898,1.67
"347","2022","Otobi","NR17C2aF87P011",16.459,2.66
"348","2022","Otobi","NR17C2aF89P002",14.979,2.67
"349","2022","Otobi","NR17C2aF89P003",13.862,1.33
"350","2022","Otobi","NR17C2aF89P008",19.479,2.67
"351","2022","Otobi","NR17C2aF89P009",17.546,2
"352","2022","Otobi","NR17C2aF89P010",15.644,2.66
"353","2022","Otobi","NR17C2aF89P013",18.331,3.65
"354","2022","Otobi","NR17C2aF89P014",18.271,1.99
"355","2022","Otobi","NR17C2aF89P018",16.61,1.66
"356","2022","Otobi","NR17C2aF89P020",15.342,2.33
"357","2022","Otobi","NR17C2aF89P021",16.489,2
"358","2022","Otobi","NR17C2aF89P028",17.365,1.67
"359","2022","Otobi","NR17C2aF89P041",20.929,2.33
"360","2022","Otobi","NR17C2aF89P045",13.228,2.66
"361","2022","Otobi","NR17C2aF89P050",12.805,2.33
"362","2022","Otobi","NR17C2aF89P054",15.523,4.65
"363","2022","Otobi","NR17C2aF89P058",18.452,1.66
"364","2022","Otobi","NR17C2aF89P067",17.033,2
"365","2022","Otobi","NR17C2aF89P069",NA,1.99
"366","2022","Otobi","NR17C2aF89P071",21.835,2.33
"367","2022","Otobi","NR17C2aF89P088",22.016,2.33
"368","2022","Otobi","NR17C2aF89P091",16.368,2.67
"369","2022","Otobi","NR17C2aF89P096",10.57,2.67
"370","2022","Otobi","NR17C2aF89P102",17.063,1.67
"371","2022","Otobi","NR17C2aF90P007",16.791,2.67
"372","2022","Otobi","NR17C2aF91P001",15.764,1.33
"373","2022","Otobi","NR17C2aF91P004",19.147,2.66
"374","2022","Otobi","NR17C2aF91P006",16.67,2
"375","2022","Otobi","NR17C2aF91P011",12.322,2
"376","2022","Otobi","NR17C2aF92P001",21.714,2
"377","2022","Otobi","NR17C2aF92P002",23.556,2.33
"378","2022","Otobi","NR17C2aF92P003",11.325,2.33
"379","2022","Otobi","NR17C2aF92P005",14.466,3.33
"380","2022","Otobi","NR17C2aF93P009",20.627,2.67
"381","2022","Otobi","NR17C2aF93P010",19.328,3
"382","2022","Otobi","NR17C2aF94P013",21.684,2.33
"383","2022","Otobi","NR17C2aF95P003",19.6,2.33
"384","2022","Otobi","NR17C2aF95P009",14.798,2
"385","2022","Otobi","NR17C2aF95P011",16.036,1.66
"386","2022","Otobi","NR17C2aF95P015",18.633,2.66
"387","2022","Otobi","NR17C2aF95P021",14.315,2.33
"388","2022","Otobi","NR17C2aF96P004",19.358,2
"389","2022","Otobi","NR17C2aF97P002",14.647,2.67
"390","2022","Otobi","NR17C2aF98P001",17.848,2.33
"391","2022","Otobi","NR17C2aF99P002",19.207,2
"392","2022","Otobi","NR17C2aF9P010",12.82,31.67
"393","2022","Otobi","NR17C2aF9P013",14.768,1.66
"394","2022","Otobi","NR8082",21.291,2
"395","2022","Otobi","TMEB419",20.174,2
"396","2022","Otobi","TMEB7",16.58,2.33
"397","2020","Umudike","IITA-TMS-IBA30572",10.63,1
"398","2020","Umudike","NR17C2aF10P002",17.305,1.33
"399","2020","Umudike","NR17C2aF10P017",15.402,1.67
"400","2020","Umudike","NR17C2aF10P025",14.647,1.33
"401","2020","Umudike","NR17C2aF10P036",11.597,2.67
"402","2020","Umudike","NR17C2aF114P002",8.758,2.33
"403","2020","Umudike","NR17C2aF121P001",10.661,1.67
"404","2020","Umudike","NR17C2aF12P001",12.533,2
"405","2020","Umudike","NR17C2aF13P001",10.298,2
"406","2020","Umudike","NR17C2aF15P016",12.412,2
