"","environment","location","year","Genotype","swelling.index","swelling.power","WAC","Bulk.Density"
"291","Umudike_2021","Umudike","2021","NR17C2aF60P006",2.374,NA,518,0.734
"292","Umudike_2021","Umudike","2021","NR17C2aF60P007",NA,7.365,NA,NA
"293","Umudike_2021","Umudike","2021","NR17C2aF60P009",1.409,10.205,280,0.839
"294","Umudike_2021","Umudike","2021","NR17C2aF60P010",1.267,NA,241,0.725
"295","Umudike_2021","Umudike","2021","NR17C2aF60P015",1.815,7.012,325,0.667
"296","Umudike_2021","Umudike","2021","NR17C2aF60P019",2.613,8.367,460,0.741
"297","Umudike_2021","Umudike","2021","NR17C2aF60P020",2.28,7.207,435,0.76
"298","Umudike_2021","Umudike","2021","NR17C2aF61P003",1.983,7.723,424,0.808
"299","Umudike_2021","Umudike","2021","NR17C2aF61P004",2.143,8.18,467,0.867
"300","Umudike_2021","Umudike","2021","NR17C2aF61P008",1.886,10.36,426,0.901
"301","Umudike_2021","Umudike","2021","NR17C2aF61P010",2.437,8.947,542,0.882
"302","Umudike_2021","Umudike","2021","NR17C2aF61P011",2.042,7.581,392,0.857
"303","Umudike_2021","Umudike","2021","NR17C2aF61P013",2.38,9.319,442,0.938
"304","Umudike_2021","Umudike","2021","NR17C2aF61P015",2.817,9.011,539,0.791
"305","Umudike_2021","Umudike","2021","NR17C2aF61P016",2.072,10.109,432,0.787
"306","Umudike_2021","Umudike","2021","NR17C2aF62P020",3.043,9.931,531,0.858
"307","Umudike_2021","Umudike","2021","NR17C2aF62P024",2.364,7.551,468,0.862
"308","Umudike_2021","Umudike","2021","NR17C2aF62P027",2.295,9.484,401,0.936
